label,volume_um3,centroid_z,centroid_y,centroid_x,bbox_min_z,bbox_min_y,bbox_min_x,bbox_max_z,bbox_max_y,bbox_max_x,solidity,extent,major_axis,intermediate_axis,minor_axis,elongation_ratio1,elongation_ratio2,sphericity
1,574.633893048,22.54761395759717,90.48952134864547,41.4678546819788,15.804,86.483,36.876,29.413,95.263,46.534,0.9065670048051254,0.4979472140762463,12.649671277065105,8.541571580476058,7.509670606421592,0.6752405966440116,0.5936652772975407,0.96081110655633
2,1416.364252579,22.57526229018577,103.34119264082194,46.46959620094379,14.926,96.141,38.632,30.291,110.18900000000001,57.509,0.7842319763901251,0.3476121262458472,19.99798687714968,13.390977268576707,8.686378942598521,0.6696162644189778,0.43436266840058024,0.8077409716899056
3,1105.019622659,22.686562744047162,86.26442431666794,58.110948625679505,15.365,79.459,48.729,29.852,92.19,66.289,0.795383959563973,0.34119644723093,16.302225506395125,13.03154202064152,8.162426045520236,0.7993719640014448,0.5006939722627586,0.8142285500792573
4,2082.794048742,23.39958449102283,82.93949000731172,76.54881054512958,15.365,74.191,65.411,30.73,93.507,85.605,0.7807554470203927,0.34751552795031054,20.722556321939287,13.414631306741185,11.761722435903831,0.6473444249992898,0.5675806716689444,0.8201350645931706
5,618.45903389,21.894689603283176,43.04169794801641,76.36846402188782,15.804,38.193,71.118,28.096,48.29,82.093,0.8895108298856169,0.4540372670807453,12.083114122532665,10.31764021093629,7.285566717421992,0.8538891635307732,0.6029543910237364,0.9266742202428107
6,777.261716053,22.53770665070208,72.07661314901492,89.50300653096767,15.804,66.289,83.41,28.974,79.898,95.702,0.7997736571776791,0.35280337941628265,12.802036838379022,11.40813486749182,8.755458323774809,0.8911187345822622,0.6839113521003908,0.8607234270665165
7,812.880218552,21.663014258950874,50.93542277268943,91.35152279350541,14.048,45.217,86.922,28.974,56.192,97.019,0.8981117965974948,0.49145780051150895,14.31018539205766,9.683163214791746,8.435187015411772,0.6766623177478908,0.5894533707504175,0.9342641860463927
8,246.19915029,20.340484192439863,58.53318247422681,108.9763945017182,14.926,55.314,106.238,25.901,62.777,112.823,0.8754512635379061,0.45647058823529413,10.76626136316424,6.966588555507733,4.7688948804021525,0.6470759273356735,0.44294808750588965,0.9201398372603847
9,695.872168775,22.127147841945288,75.33634966565349,112.33804510638298,14.487,70.24,107.994,29.413,81.654,117.213,0.8889969736273238,0.44306184012066363,13.792786926740414,10.573349426080767,7.0048298255053805,0.7665854248485457,0.5078618166662856,0.9037273831578535
10,1035.55931256,20.28997745098039,44.46349093137255,114.06414338235294,13.609,34.242,110.628,26.779,56.192,118.53,0.8223595807578608,0.4533333333333333,22.264332533690062,12.94345796368312,5.447171111886268,0.5813539635242722,0.2446590798823045,0.7382323653395269
11,891.2240031460001,22.875258970951208,87.19071767609645,117.2234186443896,15.365,82.093,111.94500000000001,30.291,93.507,123.359,0.8621000081839758,0.4583188304907762,14.48439761553686,10.213984207819044,8.907669066723997,0.705171487205163,0.6149837434156793,0.9077272261577869
12,111.170337966,15.987083713850836,97.58094672754946,125.1941803652968,11.853,94.385,121.603,20.194,100.97,127.749,0.7666277712952159,0.3293233082706767,7.739357892786556,6.8816020254762265,3.321890793293113,0.8891696340713487,0.4292204649676779,0.8471344959345817
13,596.123440874,29.274558614816918,135.38502057905194,130.2746518592109,22.389,128.188,127.31,35.998,143.114,134.334,0.8679477703867948,0.4178130929791271,12.790927608520324,11.356180890529675,6.021239807484432,0.8878309093833874,0.47074301346788555,0.8606805941506495
14,3095.087118577,15.461468878987509,113.25904797310227,140.33151064702184,6.146,94.385,128.627,27.218,133.895,158.04,0.4690849874339642,0.12639234383637368,48.92705075920409,15.31054349291615,9.442998201631442,0.31292594291586134,0.1930015820513162,0.501776017440184
15,199.49745580200002,28.635534351145036,123.27447667514843,140.12477862595418,23.267,119.847,136.529,33.803,127.31,144.431,0.8457675753228121,0.32107843137254904,10.033508988534214,5.966762452149488,4.9840679353710975,0.5946835208866611,0.49674226046606806,0.8990060535697811
16,1799.1997010540001,19.62238756700837,84.8594885733095,146.82330847361985,10.975,76.386,137.846,28.096,93.946,155.406,0.8529942641691067,0.3408012820512821,19.71659730913673,13.778447165469277,10.17777231677013,0.6988247997074172,0.516203285850633,0.8587126167536312
17,124.960874563,13.175350033852403,107.32524576844955,151.35959106296545,8.78,105.36,147.504,17.56,110.628,154.967,0.8187361419068736,0.3620098039215686,8.393607520420726,6.72086554623687,3.3650331866432426,0.8007123909339031,0.4009042808418771,0.8666433225302592
18,215.910732488,27.504244514106585,114.8585356583072,151.3607319749216,22.389,111.506,147.504,32.047,118.53,156.284,0.8055555555555556,0.3625,9.961152387895993,8.17111565514932,4.110353423540992,0.8202982282530097,0.4126383437859629,0.8389737953176973
19,8245.048794626,18.378245295216203,112.39377968066985,176.65466490857227,4.829,99.653,150.577,35.559,127.31,193.16,0.5415043701970895,0.22781868761250204,38.539563565790075,24.284206435144174,19.371201357385292,0.6301110907415731,0.5026315703943331,0.6127650531164197
20,977.266798969,26.541656479958444,169.3255418578478,155.88885819409575,19.316,162.43,150.577,33.803,175.161,163.308,0.8864927091327706,0.4162072568731308,13.69491107729806,12.838618252192445,8.337688741152057,0.9374736484032317,0.6088165665400613,0.8971405676103716
21,1611.208459836,23.684446492333542,187.6047274732199,162.74491173072883,11.853,179.551,154.967,33.803,197.55,172.088,0.6314951752495275,0.23819887429643527,23.733323553761448,13.324587814286906,9.891478899875572,0.5614294931809126,0.4167759680800328,0.693576289334985
22,1444.114534811,17.31139879313375,83.63815449059699,164.148732966196,7.463,76.825,156.723,27.657,91.312,172.527,0.6968645382542663,0.31234445908358954,19.572120477690845,12.96767950333264,9.494084259860609,0.6625587410476941,0.4850820467144773,0.7561970831459836
