label,volume_um3,centroid_z,centroid_y,centroid_x,bbox_min_z,bbox_min_y,bbox_min_x,bbox_max_z,bbox_max_y,bbox_max_x,solidity,extent,major_axis,intermediate_axis,minor_axis,elongation_ratio1,elongation_ratio2,sphericity
1,224.455788907,22.59220090463626,90.48480022615907,41.41542216358839,17.999,87.8,37.754,27.218,93.946,45.217,0.9082505991098939,0.530812324929972,8.699188098210138,6.920554542358356,5.173366971673168,0.7955402807972692,0.5946953799904143,0.9938940157959318
2,589.69349743,22.62223055954089,103.48187360114777,46.17398220946916,17.56,98.336,39.51,28.535,109.311,56.192,0.6744726146700213,0.29347368421052633,19.122583145061032,9.440661736055919,6.414989509102476,0.49369176038825313,0.33546668148541087,0.7222037974531298
3,368.283471207,22.636788421778085,86.9825099931082,59.16536021134849,17.56,82.971,51.802,27.657,91.312,64.972,0.7306143001007049,0.3320366132723112,11.456778350389385,9.63079014477026,5.50111351491593,0.8406194001687164,0.480162341163645,0.7946849543137089
4,826.9245687060001,23.35979455698793,82.83912932269286,76.55205105381626,17.999,75.947,68.484,28.974,92.629,84.727,0.6311507167764432,0.27806543385490756,18.842376224095204,9.246056996658442,8.901628172822559,0.4907054655258817,0.47242598634875776,0.7094559885110725
5,234.777540225,21.72709873873874,43.254867747747745,76.32920684684686,17.999,39.51,71.996,26.34,47.851,80.776,0.840654347167525,0.3843490304709141,9.099121747421163,7.7639812795364636,4.966952956064186,0.8532671058871039,0.5458716889321653,0.9120759886838821
6,263.12005409,22.441934083601286,71.77170064308682,89.2231504823151,17.999,67.606,83.849,27.218,77.264,93.946,0.7093978102189781,0.29267833615659705,8.72994009383705,8.103174257073205,7.094683079292984,0.9282050243155375,0.8126840508678307,0.8029387030844555
7,361.007482573,21.726436137801734,51.22400562456058,91.26776048746191,16.243,47.851,87.8,27.218,55.314,95.702,0.8998312948123155,0.5577777777777778,10.3195639356732,7.535927786173645,6.555440509469719,0.7302564171459864,0.635243945416001,0.9700181503151838
8,70.983191441,20.333182359952325,58.25095709177592,109.06036710369489,16.682,56.192,107.116,24.584,61.899,111.506,0.8483316481294236,0.35854700854700855,7.374037878557294,4.08549999072478,3.4254562182722776,0.5540383787022388,0.4645292409241674,0.9492705248085668
9,274.79547771200004,22.287765086206896,75.47475061576354,112.22586268472907,16.682,71.996,108.872,27.218,80.776,115.896,0.8721804511278195,0.42291666666666666,9.791267590936744,8.434890035637405,4.912700766163293,0.8614706887844771,0.5017430808152683,0.9091146746012204
10,402.548301402,20.110776376628838,44.57962883564523,113.80645964691047,15.804,35.559,111.506,25.023,55.314,117.213,0.7197095749508395,0.3873015873015873,21.05799844937825,8.497613292786099,3.6562997577972696,0.40353376002062513,0.17362997564021684,0.6587973070897408
